Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth 5Years,Profit growth 5Years,Average return on equity 5Years,Price to book value,Return on equity,Debt to equity,Sales growth 3Years,Profit growth 3Years,Pledged percentage,Historical PE 5Years,Cash from operations last year,Cash from operations preceding year,Days Receivable Outstanding,Interest Coverage Ratio,OPM,OPM last year,OPM preceding year,OPM latest quarter,OPM preceding quarter,OPM 5Year,OPM preceding year quarter,Dividend Payout Ratio,Dividend Payout
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,222.49,11.54,785.09,0.56,17.74,5.33,244.72,-0.99,17.31,14.55,23.38,15.74,1.62,14.54,0.32,10.78,16.65,0.00,10.02,103.59,31.79,67.62,6.65,12.94,12.84,12.86,13.13,12.10,12.90,12.75,6.60,6.60
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,38.13,,40.04,0.00,9.14,295.67,9.66,190.09,-57.00,,,9.29,1.21,-57.21,0.00,22.98,-12.57,0.00,1.79,-2.37,5.15,-132.63,,-162.27,-141.97,17.30,94.62,,16.56,69.37,0.00,0.00
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1137.00,36.72,46340.08,1.06,330.53,16.11,1226.09,34.52,12.12,21.99,26.80,18.86,4.70,14.39,1.62,29.53,22.72,0.00,33.80,-2921.06,-2462.17,41.12,2.34,61.85,62.98,64.92,63.01,59.46,61.56,62.09,40.07,40.07
3B Blackbio,532067,3BBLACKBIO,INE994E01018,Healthcare Services,Healthcare Service Provider,1460.10,22.57,1253.16,0.27,8.98,-24.31,33.49,50.65,25.48,-8.95,-12.44,18.42,3.86,19.77,0.01,31.90,31.41,0.00,19.19,52.48,43.36,128.83,226.24,34.90,40.01,51.94,25.44,23.96,45.29,53.22,7.31,7.31
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,11.66,15.70,28.88,0.00,2.79,36.76,34.30,-11.85,4.90,-0.93,61.02,8.54,0.54,4.16,1.89,-5.80,25.99,0.00,22.55,-1.60,14.89,201.26,1.42,18.46,18.46,18.47,21.81,13.80,16.59,,0.00,0.00
3C IT Solutions,544190,,INE0R7D01018,IT - Services,IT Enabled Services,19.13,19.86,11.52,0.00,0.43,290.91,37.28,186.33,5.12,7.56,-7.58,9.31,0.87,4.46,0.03,-1.90,-20.17,0.00,37.02,0.05,-2.98,205.69,6.90,2.14,2.14,2.44,2.07,2.31,4.09,,0.00,0.00
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,22.37,12.30,463.96,0.00,6.52,-15.22,177.94,4.33,12.99,2.64,14.26,-2.25,1.22,11.05,0.16,-1.66,132.87,0.00,13.10,-43.58,31.56,56.90,12.31,-1.35,-2.59,3.27,2.85,-5.48,-3.23,-2.03,0.00,0.00
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,32845.00,83.96,37016.32,0.49,233.07,-0.42,1423.21,19.00,50.01,16.03,29.60,21.88,20.93,29.98,0.10,10.88,9.22,0.00,73.30,513.72,355.11,60.14,21.25,18.47,19.37,17.31,16.73,18.40,16.83,20.21,109.18,109.18
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,32.39,25.68,58.30,0.00,0.46,24.32,1.05,15.38,2.38,27.06,77.40,1.96,0.56,1.78,0.00,22.83,12.28,0.00,31.56,0.06,1.17,0.00,,64.86,63.81,62.42,60.95,57.43,69.60,54.95,0.00,0.00
52 Weeks Enter.,531925,,INE545N01019,Food Products,Packaged Foods,1.16,,4.05,0.00,-16.65,-23685.71,0.00,,0.61,,15.04,-2.22,0.25,0.69,0.24,,44.22,0.00,36.67,-0.12,-0.12,,,,,,,,,,0.00,0.00
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,342.10,36.28,1603.84,0.00,11.57,0.17,88.33,13.70,9.94,10.45,24.60,9.40,2.47,7.04,0.58,-1.86,0.40,0.00,39.62,-103.71,97.94,0.22,2.76,30.76,31.59,35.41,29.50,30.09,27.61,32.42,0.00,0.00
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,876.50,,4038.78,0.23,-47.56,-203.60,137.16,350.44,-3.70,5.72,,0.11,1.14,-1.98,0.00,-9.98,-23.40,0.00,15.98,-292.97,-142.78,114.28,-117.72,-93.79,-133.13,-508.80,-52.30,-57.08,-53.75,-180.23,-41.11,-41.11
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,6.99,14.19,19.58,0.00,1.13,1127.27,2.85,-42.42,0.62,35.57,17.81,0.27,1.34,0.48,0.16,-35.76,-16.45,0.00,128.71,-1.82,3.55,241.12,12.20,8.35,-6.33,2.10,52.63,,-0.89,-3.43,0.00,0.00
7Seas Enter.,540874,,INE454F01010,Entertainment,Digital Entertainment,95.52,92.37,220.77,0.00,0.69,27.78,5.76,17.31,9.16,298.58,4.61,,7.52,9.41,0.00,53.90,73.09,0.00,78.99,-5.09,-3.12,102.86,,17.37,16.15,13.95,19.10,20.58,13.63,14.46,0.00,0.00
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7410.00,101.88,157024.11,0.53,362.30,8.03,3558.87,21.03,29.93,17.80,57.13,21.60,16.81,22.39,0.02,15.51,29.76,0.00,95.92,1219.52,1331.80,87.81,126.41,13.97,15.49,18.96,12.56,12.83,14.39,13.64,50.01,50.01
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,11.35,37.16,725.03,0.05,5.34,3.09,76.25,25.91,16.06,32.91,65.89,15.34,4.28,13.84,0.52,28.05,47.74,0.00,41.47,-51.17,-23.59,148.46,3.40,14.37,14.86,15.88,13.90,14.42,13.56,15.87,1.98,1.98
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,86.07,49.21,10505.03,0.58,29.02,20.62,2045.74,11.15,15.02,,,,7.44,14.87,2.14,,,0.00,56.83,1218.81,1144.17,52.09,1.77,16.15,16.33,15.62,15.06,16.21,,14.30,35.68,35.68
A B M Internatl.,,ABMINTLLTD,INE251C01025,Commercial Services & Supplies,Trading & Distributors,55.86,,52.55,0.00,0.68,855.56,10.45,-26.92,-8.50,-15.79,,-14.59,4.58,-17.19,0.73,-13.92,19.46,0.00,50.00,3.25,-1.23,12.00,-4.10,-3.34,-4.59,-2.67,6.03,10.44,-3.81,-1.12,0.00,0.00
A B Real Estate,500040,ABREL,INE055A01016,Realty,"Residential, Commercial Projects",1373.60,,15342.52,0.18,-34.59,-59.41,188.85,29.74,-4.48,-31.07,,1.11,4.15,-2.64,1.52,-52.63,,0.00,113.10,747.23,-1293.44,14.98,-4.80,-85.83,-90.32,1.32,-30.02,-200.41,8.24,-29.12,-27.05,-27.05
A C J K Exports,544743,AEROPLANE,INE05TO01019,Agricultural Food & other Products,Other Agricultural Products,194.29,16.25,2011.90,0.00,36.63,127.52,663.73,55.10,15.70,15.72,48.99,12.26,,15.85,0.82,20.37,83.17,0.00,14.76,-166.37,94.96,79.03,3.09,9.62,9.85,8.19,9.32,6.40,7.61,10.36,0.00,0.00
A F Enterprises,538351,,INE663P01015,Commercial Services & Supplies,Trading & Distributors,1.76,,5.89,0.00,-0.14,6.67,5.64,370.00,-2.24,,,,0.16,-2.47,0.17,-39.13,,0.00,54.10,-0.03,-15.34,5048.59,-4.85,-1.72,-9.18,-17.91,1.42,-71.43,,-2.50,0.00,0.00
A G Universal,,AGUL,INE0O6N01012,Industrial Products,Iron & Steel Products,45.90,314.62,25.17,0.00,-0.41,-180.39,41.40,32.40,5.13,13.84,-7.79,6.47,1.16,0.40,0.88,7.39,-26.32,0.00,21.40,0.13,-3.63,26.62,1.19,1.80,1.80,6.65,3.48,-0.37,3.75,,0.00,0.00
A R C I,,,IN9148G01014,,,,12.87,5249.04,,,,,,19.06,34.52,46.17,,,14.74,0.11,,,,,153.58,319.04,34.92,16.19,73.95,73.95,77.75,,,,,0.00,0.00
A-1,542012,,INE911Z01025,Chemicals & Petrochemicals,Trading - Chemicals,5.08,27.33,233.68,0.98,3.16,426.67,175.01,170.54,11.66,18.76,17.63,8.72,4.32,11.55,0.77,1.23,18.28,0.00,158.98,-16.08,-10.53,83.05,6.22,3.58,3.54,3.04,3.40,4.88,2.64,2.88,0.00,0.00
A.K.Capital Serv,530499,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1736.90,10.02,1146.35,3.45,28.26,17.71,139.72,3.92,9.33,14.74,8.21,10.49,1.10,10.95,2.95,12.08,8.00,0.00,6.86,-257.66,-261.16,4.38,1.69,70.35,69.88,70.81,73.33,71.31,66.56,71.34,35.89,35.89
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,15.61,65.53,277.11,0.00,-0.02,-98.57,68.45,-24.37,16.34,-1.41,15.88,-40.21,5.56,15.36,1.95,3.41,-22.33,99.68,23.81,-16.61,54.21,75.85,2.03,0.68,2.24,1.98,0.89,-3.46,-12.41,7.47,0.00,0.00
